sex,gpa,physics,math,art,analytic,construct,electric,mechanic,specialty
0,93,74,73,0,1,1,1,0,A
1,93,74,83,1,1,1,0,0,C
1,89,70,82,0,1,0,0,0,D
1,89,70,82,0,1,0,0,0,D
1,95,76,90,0,1,0,1,0,F
0,99,80,90,1,1,1,0,0,G
0,93.9,75,88,0,1,1,1,0,A
1,91.9,73,81,1,1,1,0,0,C
0,94.9,76,76,1,1,1,0,0,C
1,78.9,60,70,0,1,0,0,0,D
1,95.9,77,87,0,0,1,0,1,E
0,94.9,76,80,1,1,1,0,0,G
1,90.8,72,75,0,1,1,1,0,A
1,96.8,78,84,1,1,1,0,0,C
1,68.8,50,50,0,1,0,0,0,D
1,84.8,66,76,0,0,1,0,1,E
1,92.8,74,80,0,0,1,0,1,E
0,94.8,76,81,0,0,1,0,1,E
1,83.8,65,70,0,1,0,1,0,F
1,90.8,72,85,0,1,0,1,0,F
1,89.8,71,86,1,1,1,0,0,G
0,92.8,74,81,1,1,1,0,0,G
0,92.8,74,86,1,1,1,0,0,G
0,94.8,76,76,1,1,1,0,0,G
0,95.8,77,86,1,1,1,0,0,G
0,98.7,80,86,1,1,1,0,0,G
1,88.6,70,86,0,1,1,1,0,A
1,90.6,72,80,0,1,1,1,0,A
1,92.6,74,84,0,1,1,1,0,A
1,85.6,67,83,1,1,1,0,0,C
1,90.6,72,88,1,1,1,0,0,C
1,94.6,76,85,1,1,1,0,0,G
1,93.5,75,82,1,1,1,0,0,C
1,68.5,50,60,0,1,0,0,0,D
0,96.5,78,80,1,1,1,0,0,G
1,84.4,66,67,0,1,1,1,0,A
1,93.4,75,82,0,0,1,1,1,B
1,95.4,77,83,0,0,1,1,1,B
1,93.4,75,83,1,1,1,0,0,C
1,93.4,75,74,1,1,1,0,0,C
0,93.4,75,87,1,1,1,0,0,C
0,94.4,76,82,1,1,1,0,0,C
0,95.4,77,85,1,1,1,0,0,C
0,90.4,72,77,0,0,1,0,1,E
1,90.4,72,74,0,0,1,0,1,E
1,94.4,76,80,0,1,0,1,0,F
1,91.4,73,98,1,1,1,0,0,G
1,88.3,70,86,0,1,1,1,0,A
0,91.3,73,81,0,1,1,1,0,A
1,92.3,74,82,1,1,1,0,0,C
1,92.3,74,77,1,1,1,0,0,C
1,83.3,65,90,0,1,0,1,0,F
0,91.3,73,80,1,1,1,0,0,G
0,95.2,77,85,0,1,1,1,0,A
1,91.2,73,86,1,1,1,0,0,C
0,93.2,75,88,1,1,1,0,0,C
0,98.2,80,82,1,1,1,0,0,C
1,90.2,72,78,0,0,1,0,1,E
0,94.2,76,88,0,0,1,0,1,E
1,83.2,65,99,0,1,0,1,0,F
0,86.2,68,87,1,1,1,0,0,G
1,92.2,74,80,1,1,1,0,0,G
0,96.2,78,90,1,1,1,0,0,G
0,98.2,80,85,1,1,1,0,0,G
1,92.1,74,93,1,1,1,0,0,C
0,93.1,75,80,1,1,1,0,0,C
1,93.1,75,81,1,1,1,0,0,C
1,94.1,76,76,1,1,1,0,0,C
0,94.1,76,87,1,1,1,0,0,C
0,86.1,68,74,0,1,0,0,0,D
1,82.1,64,86,0,0,1,0,1,E
0,92.1,74,87,0,1,0,1,0,F
0,98.1,80,83,1,1,1,0,0,G
0,98.1,80,80,1,1,1,0,0,G
0,93,75,78,0,1,1,1,0,A
1,98,80,80,0,1,1,1,0,A
1,88,70,71,0,0,1,1,1,B
1,91,73,78,1,1,1,0,0,C
1,93,75,75,0,0,1,0,1,E
1,85,67,76,0,1,0,1,0,F
0,84.9,67,80,0,1,1,1,0,A
1,93.9,76,95,1,1,1,0,0,C
1,92.9,75,90,0,1,0,1,0,F
0,94.8,77,93,0,1,1,1,0,A
1,97.8,80,86,0,0,1,1,1,B
1,92.8,75,99,1,1,1,0,0,C
1,94.8,77,90,1,1,1,0,0,C
0,87.8,70,76,0,1,0,0,0,D
0,91.8,74,76,0,0,1,0,1,E
0,87.8,70,83,1,1,1,0,0,G
0,97.8,80,88,1,1,1,0,0,G
1,93.7,76,82,0,0,1,1,1,B
0,98.7,81,85,1,1,1,0,0,C
1,87.7,70,74,0,1,0,0,0,D
1,94.7,77,80,0,0,1,0,1,E
0,93.7,76,80,1,1,1,0,0,G
1,93.6,76,80,0,1,1,1,0,A
0,94.6,77,76,0,1,1,1,0,A
0,95.6,78,85,0,1,1,1,0,A
1,93.6,76,74,0,0,1,1,1,B
1,93.6,76,88,1,1,1,0,0,C
1,77.6,60,64,0,1,0,0,0,D
0,94.6,77,83,0,1,0,1,0,F
1,95.6,78,76,1,1,1,0,0,G
1,93.5,76,84,0,1,1,1,0,A
0,94.4,77,82,0,1,1,1,0,A
0,78.4,61,68,0,1,0,0,0,D
0,90.4,73,77,1,1,1,0,0,G
1,92.3,75,82,1,1,1,0,0,C
0,92.3,75,86,1,1,1,0,0,C
1,93.3,76,80,1,1,1,0,0,C
1,94.3,77,80,1,1,1,0,0,C
1,87.3,70,77,0,0,1,0,1,E
0,95.3,78,81,0,0,1,0,1,E
1,95.3,78,76,0,0,1,0,1,E
0,92.3,75,78,1,1,1,0,0,G
0,98.3,81,90,1,1,1,0,0,G
0,89.2,72,81,0,1,1,1,0,A
1,94.2,77,77,1,1,1,0,0,C
0,88.2,71,74,0,1,0,0,0,D
0,95.2,78,81,0,1,0,1,0,F
0,84.1,67,68,0,1,1,1,0,A
0,97.1,80,90,0,1,1,1,0,A
1,87.1,70,71,1,1,1,0,0,C
1,95.1,78,91,1,1,1,0,0,C
0,97.1,80,95,1,1,1,0,0,C
1,77.1,60,60,0,1,0,0,0,D
0,83.1,66,70,0,1,0,0,0,D
1,85.1,68,70,0,1,0,1,0,F
1,90.1,73,75,0,1,0,1,0,F
0,91,74,86,0,1,1,1,0,A
0,91,74,75,1,1,1,0,0,C
0,85,68,67,0,1,0,0,0,D
1,83,66,80,0,0,1,0,1,E
0,93,76,80,0,1,0,1,0,F
0,87,70,70,1,1,1,0,0,G
0,95,78,90,1,1,1,0,0,G
0,87.9,71,99,0,1,1,1,0,A
0,88.9,72,84,0,1,1,1,0,A
1,91.9,75,85,0,1,1,1,0,A
0,96.9,80,82,0,0,1,1,1,B
0,86.9,70,78,1,1,1,0,0,C
1,91.9,75,78,1,1,1,0,0,C
0,94.9,78,80,1,1,1,0,0,C
0,90.9,74,74,0,1,0,0,0,D
1,86.9,70,72,0,0,1,0,1,E
0,87.9,71,84,1,1,1,0,0,G
0,97.9,81,78,1,1,1,0,0,G
1,91.8,75,74,0,0,1,1,1,B
0,91.8,75,73,1,1,1,0,0,C
0,88.8,72,70,0,1,0,0,0,D
1,89.7,73,90,0,1,1,1,0,A
0,81.7,65,75,0,1,0,0,0,D
0,82.7,66,80,0,0,1,0,1,E
1,90.7,74,80,0,0,1,0,1,E
1,86.7,70,75,0,1,0,1,0,F
0,86.7,70,85,1,1,1,0,0,G
0,96.6,80,90,0,1,1,1,0,A
1,82.6,66,87,0,0,1,0,1,E
1,84.6,68,81,0,0,1,0,1,E
1,92.5,76,80,0,1,1,1,0,A
0,96.5,80,90,0,1,1,1,0,A
1,91.5,75,94,1,1,1,0,0,C
1,94.5,78,90,1,1,1,0,0,C
1,86.5,70,76,0,1,0,1,0,F
0,96.5,80,90,1,1,1,0,0,G
1,94.4,78,83,0,1,1,1,0,A
0,97.4,81,90,0,1,1,1,0,A
0,98.4,82,89,0,1,1,1,0,A
1,90.4,74,90,0,0,1,1,1,B
0,86.4,70,73,1,1,1,0,0,C
0,87.4,71,76,1,1,1,0,0,C
1,76.4,60,71,0,1,0,0,0,D
1,76.4,60,77,0,1,0,0,0,D
1,88.4,72,85,0,1,0,0,0,D
1,96.4,80,85,0,1,0,1,0,F
1,89.3,73,88,0,1,1,1,0,A
0,87.3,71,73,1,1,1,0,0,C
1,94.3,78,82,1,1,1,0,0,C
0,79.3,63,60,0,1,0,0,0,D
0,84.3,68,67,0,1,0,0,0,D
1,92.3,76,91,0,1,0,1,0,F
1,92.3,76,74,1,1,1,0,0,G
0,94.3,78,84,1,1,1,0,0,G
1,96.3,80,93,1,1,1,0,0,G
0,98.3,82,97,1,1,1,0,0,G
0,81.2,65,91,0,1,1,1,0,A
1,94.2,78,80,0,1,1,1,0,A
1,96.2,80,84,0,0,1,1,1,B
0,88.2,72,86,1,1,1,0,0,C
0,90.2,74,77,1,1,1,0,0,C
1,94.2,78,81,1,1,1,0,0,C
0,96.2,80,99,0,1,0,0,0,D
0,96.2,80,81,0,1,0,0,0,D
0,91.2,75,74,0,1,0,1,0,F
1,91.2,75,84,0,1,0,1,0,F
0,93.2,77,81,0,1,0,1,0,F
1,89.2,73,76,1,1,1,0,0,G
0,96.2,80,88,1,1,1,0,0,G
1,89.1,73,81,0,1,1,1,0,A
0,96.1,80,93,0,0,1,1,1,B
0,92.1,76,93,1,1,1,0,0,C
0,97.1,81,86,1,1,1,0,0,C
1,77.1,61,84,0,1,0,0,0,D
0,81.1,65,74,0,1,0,0,0,D
1,90.1,74,85,0,1,0,0,0,D
1,93.1,77,85,1,1,1,0,0,G
1,94.1,78,80,1,1,1,0,0,G
0,89,73,82,0,1,1,1,0,A
1,94,78,93,0,1,1,1,0,A
0,97,81,87,0,1,1,1,0,A
0,93,77,88,0,0,1,1,1,B
1,93,77,80,1,1,1,0,0,C
0,94,78,85,1,1,1,0,0,C
1,96,80,88,1,1,1,0,0,C
1,96,80,77,1,1,1,0,0,C
1,81,65,65,0,1,0,0,0,D
0,87,71,78,0,1,0,1,0,F
0,92,76,74,0,1,0,1,0,F
0,91,75,73,1,1,1,0,0,G
1,91,75,80,1,1,1,0,0,G
0,92,76,86,1,1,1,0,0,G
0,96,80,85,1,1,1,0,0,G
0,91.9,76,83,0,1,1,1,0,A
1,98.9,83,82,0,1,1,1,0,A
0,88.9,73,83,1,1,1,0,0,C
0,95.9,80,80,1,1,1,0,0,C
1,86.9,71,80,0,1,0,0,0,D
0,93.9,78,74,0,1,0,0,0,D
1,85.9,70,71,0,1,0,1,0,F
0,85.9,70,92,1,1,1,0,0,G
1,89.8,74,84,0,1,1,1,0,A
1,95.8,80,85,0,1,1,1,0,A
1,95.8,80,81,0,1,1,1,0,A
0,95.8,80,92,0,1,1,1,0,A
0,96.8,81,90,0,1,1,1,0,A
0,95.8,80,80,1,1,1,0,0,C
1,97.8,82,82,1,1,1,0,0,C
1,85.8,70,70,0,0,1,0,1,E
1,87.8,72,70,0,1,0,1,0,F
1,91.8,76,83,1,1,1,0,0,G
1,83.7,68,82,0,1,1,1,0,A
1,87.7,72,74,0,1,1,1,0,A
1,95.7,80,81,0,1,1,1,0,A
1,95.7,80,88,0,0,1,1,1,B
1,91.7,76,80,1,1,1,0,0,C
0,95.7,80,90,1,1,1,0,0,C
0,96.7,81,80,1,1,1,0,0,C
0,97.7,82,92,1,1,1,0,0,C
1,79.7,64,77,0,1,0,0,0,D
0,91.7,76,92,0,1,0,0,0,D
0,92.7,77,76,0,1,0,0,0,D
0,95.7,80,90,0,1,0,0,0,D
1,83.7,68,70,0,0,1,0,1,E
1,92.7,77,82,0,0,1,0,1,E
1,83.7,68,97,0,1,0,1,0,F
1,88.7,73,81,0,1,0,1,0,F
0,95.7,80,84,1,1,1,0,0,G
1,90.6,75,75,0,1,1,1,0,A
0,90.6,75,83,0,1,1,1,0,A
0,95.6,80,93,0,1,1,1,0,A
1,91.6,76,74,1,1,1,0,0,C
0,95.6,80,85,1,1,1,0,0,C
1,96.6,81,86,1,1,1,0,0,C
1,97.6,82,93,1,1,1,0,0,C
1,85.6,70,67,0,1,0,0,0,D
0,96.6,81,86,1,1,1,0,0,G
1,92.5,77,87,1,1,1,0,0,C
0,97.5,82,91,1,1,1,0,0,C
0,96.5,81,84,1,1,1,0,0,G
1,88.4,73,70,0,0,1,1,1,B
0,89.4,74,90,0,0,1,1,1,B
0,92.4,77,84,0,0,1,1,1,B
1,96.4,81,80,0,0,1,1,1,B
0,90.4,75,81,1,1,1,0,0,C
1,95.4,80,80,1,1,1,0,0,C
0,79.4,64,62,0,1,0,0,0,D
1,91.4,76,80,0,1,0,0,0,D
1,93.4,78,83,0,1,0,0,0,D
1,95.4,80,80,0,0,1,0,1,E
0,95.4,80,93,0,0,1,0,1,E
1,89.4,74,70,0,1,0,1,0,F
1,91.4,76,85,0,1,0,1,0,F
0,95.4,80,80,1,1,1,0,0,G
0,96.3,81,90,0,1,1,1,0,A
1,93.3,78,75,0,0,1,1,1,B
1,87.3,72,82,1,1,1,0,0,C
1,96.3,81,77,1,1,1,0,0,C
0,83.3,68,80,0,1,0,1,0,F
0,98.3,83,91,0,1,0,1,0,F
1,87.3,72,80,1,1,1,0,0,G
0,95.3,80,91,1,1,1,0,0,G
0,98.3,83,90,1,1,1,0,0,G
0,91.2,76,80,0,0,1,1,1,B
0,92.2,77,81,1,1,1,0,0,C
0,95.2,80,80,1,1,1,0,0,C
1,89.2,74,76,0,1,0,0,0,D
1,81.2,66,68,0,0,1,0,1,E
1,83.2,68,72,0,0,1,0,1,E
1,97.2,82,85,0,0,1,0,1,E
1,85.2,70,80,0,1,0,1,0,F
1,90.2,75,71,0,1,0,1,0,F
0,96.2,81,88,1,1,1,0,0,G
0,97.2,82,90,1,1,1,0,0,G
0,93.1,78,76,0,1,1,1,0,A
0,95.1,80,82,0,1,1,1,0,A
1,93.1,78,75,0,0,1,1,1,B
0,89.1,74,78,1,1,1,0,0,C
1,90.1,75,80,1,1,1,0,0,C
0,92.1,77,83,1,1,1,0,0,C
0,85.1,70,67,0,1,0,0,0,D
0,89.1,74,85,0,1,0,0,0,D
1,86.1,71,85,1,1,1,0,0,G
0,93.1,78,86,1,1,1,0,0,G
0,96.1,81,83,1,1,1,0,0,G
0,98.1,83,90,1,1,1,0,0,G
1,89,74,70,0,1,1,1,0,A
0,95,80,93,0,1,1,1,0,A
0,91,76,85,1,1,1,0,0,C
1,97,82,82,1,1,1,0,0,C
1,75,60,68,0,1,0,0,0,D
0,83,68,75,0,1,0,0,0,D
0,95,80,86,1,1,1,0,0,G
1,94.9,80,90,0,1,1,1,0,A
0,96.9,82,77,0,1,1,1,0,A
1,90.9,76,86,1,1,1,0,0,C
1,94.9,80,95,1,1,1,0,0,C
1,94.9,80,83,1,1,1,0,0,C
1,94.9,80,97,1,1,1,0,0,C
0,95.9,81,80,1,1,1,0,0,C
1,95.9,81,80,1,1,1,0,0,C
0,77.9,63,61,0,1,0,0,0,D
0,87.9,73,77,0,1,0,0,0,D
0,90.9,76,82,0,1,0,1,0,F
1,94.9,80,90,0,1,0,1,0,F
0,86.9,72,84,1,1,1,0,0,G
0,94.9,80,88,1,1,1,0,0,G
1,91.8,77,78,0,0,1,1,1,B
1,90.8,76,77,1,1,1,0,0,C
1,94.8,80,90,1,1,1,0,0,C
1,96.8,82,84,1,1,1,0,0,C
1,90.8,76,80,0,0,1,0,1,E
0,95.8,81,88,1,1,1,0,0,G
1,91.7,77,72,0,1,1,1,0,A
0,95.7,81,80,0,1,1,1,0,A
1,91.7,77,76,1,1,1,0,0,C
1,89.7,75,74,0,1,0,0,0,D
1,89.7,75,84,0,1,0,1,0,F
0,90.7,76,72,0,1,0,1,0,F
0,94.7,80,82,1,1,1,0,0,G
0,92.6,78,88,0,1,1,1,0,A
0,92.6,78,74,0,1,1,1,0,A
0,90.6,76,74,1,1,1,0,0,C
1,94.6,80,87,1,1,1,0,0,C
0,94.6,80,81,1,1,1,0,0,C
1,95.6,81,90,1,1,1,0,0,C
0,84.6,70,70,0,1,0,0,0,D
1,84.6,70,65,0,0,1,0,1,E
0,94.5,80,88,0,1,1,1,0,A
0,94.5,80,81,0,1,1,1,0,A
1,91.5,77,88,1,1,1,0,0,C
1,94.5,80,83,1,1,1,0,0,C
0,95.5,81,81,1,1,1,0,0,C
1,90.5,76,90,0,0,1,0,1,E
0,91.5,77,72,0,0,1,0,1,E
1,92.5,78,81,0,0,1,0,1,E
1,94.5,80,80,0,1,0,1,0,F
0,95.5,81,82,1,1,1,0,0,G
1,90.4,76,80,0,1,1,1,0,A
1,95.4,81,82,1,1,1,0,0,C
1,96.4,82,80,1,1,1,0,0,C
1,96.4,82,82,1,1,1,0,0,C
1,74.4,60,70,0,1,0,0,0,D
1,84.4,70,75,0,1,0,0,0,D
1,90.4,76,82,0,0,1,0,1,E
0,91.3,77,90,0,1,1,1,0,A
0,94.3,80,83,0,1,1,1,0,A
1,95.3,81,82,0,1,1,1,0,A
0,96.3,82,87,0,0,1,1,1,B
1,92.3,78,86,1,1,1,0,0,C
1,94.3,80,88,1,1,1,0,0,C
1,94.3,80,78,0,1,0,1,0,F
1,96.3,82,99,0,1,0,1,0,F
1,95.3,81,84,1,1,1,0,0,G
0,96.3,82,82,1,1,1,0,0,G
1,94.2,80,81,0,1,1,1,0,A
1,94.2,80,93,0,0,1,1,1,B
1,86.2,72,76,1,1,1,0,0,C
0,89.2,75,72,1,1,1,0,0,C
1,93.2,79,74,1,1,1,0,0,C
1,94.2,80,81,1,1,1,0,0,C
0,88.2,74,83,0,1,0,0,0,D
1,94.2,80,90,0,1,0,0,0,D
0,87.2,73,86,0,1,0,1,0,F
0,94.2,80,84,0,1,0,1,0,F
0,96.2,82,84,1,1,1,0,0,G
1,85.1,71,68,0,1,1,1,0,A
1,89.1,75,72,0,1,1,1,0,A
1,91.1,77,82,0,0,1,1,1,B
1,94.1,80,83,0,0,1,1,1,B
1,94.1,80,82,1,1,1,0,0,C
1,96.1,82,86,1,1,1,0,0,C
0,89.1,75,73,0,1,0,0,0,D
1,94.1,80,80,0,1,0,0,0,D
1,96.1,82,80,0,0,1,0,1,E
1,96,82,91,0,1,1,1,0,A
0,96,82,87,0,0,1,1,1,B
1,94,80,80,0,1,0,0,0,D
0,94,80,80,1,1,1,0,0,G
0,95,81,95,1,1,1,0,0,G
0,93.9,80,85,0,1,1,1,0,A
0,85.1,99,71,0,1,0,0,0,D
1,83.9,70,93,0,0,1,0,1,E
1,89.9,76,76,1,1,1,0,0,G
1,89.9,76,85,1,1,1,0,0,G
0,96.9,83,85,1,1,1,0,0,G
1,87.8,74,75,0,1,1,1,0,A
0,88.8,75,78,0,1,1,1,0,A
1,91.8,78,81,0,1,1,1,0,A
0,94.8,81,90,0,1,1,1,0,A
1,95.8,82,90,0,1,1,1,0,A
0,97.8,84,93,0,1,1,1,0,A
0,93.8,80,80,1,1,1,0,0,C
0,94.8,81,80,1,1,1,0,0,C
1,94.8,81,82,1,1,1,0,0,C
1,96.8,83,83,1,1,1,0,0,C
0,80.8,67,65,0,1,0,0,0,D
1,83.8,70,68,0,1,0,0,0,D
1,81.8,68,75,0,1,0,1,0,F
1,86.8,73,75,0,1,0,1,0,F
1,93.8,80,80,1,1,1,0,0,G
1,81.7,68,65,0,1,1,1,0,A
0,90.7,77,90,0,1,1,1,0,A
1,91.7,78,81,0,1,1,1,0,A
0,93.7,80,85,0,1,1,1,0,A
0,94.7,81,85,0,1,1,1,0,A
0,91.7,78,78,1,1,1,0,0,C
1,88.7,75,72,0,1,0,0,0,D
1,85.7,72,75,0,1,0,1,0,F
0,89.6,76,71,0,1,1,1,0,A
1,90.6,77,82,0,1,1,1,0,A
1,93.6,80,81,0,1,1,1,0,A
0,93.6,80,77,0,1,1,1,0,A
1,94.6,81,82,0,1,1,1,0,A
1,82.4,96,87,0,0,1,1,1,B
1,93.6,80,81,0,0,1,1,1,B
1,95.6,82,85,1,1,1,0,0,C
1,83.6,70,94,0,1,0,0,0,D
0,83.6,70,83,0,1,0,0,0,D
1,83.6,70,75,0,0,1,0,1,E
1,93.6,80,81,0,0,1,0,1,E
1,83.6,70,80,0,1,0,1,0,F
1,88.6,75,94,0,1,0,1,0,F
1,89.6,76,81,0,1,0,1,0,F
0,94.6,81,81,0,1,0,1,0,F
1,97.6,84,80,0,1,0,1,0,F
0,93.6,80,77,1,1,1,0,0,G
1,93.5,80,78,0,0,1,1,1,B
1,83.5,70,83,1,1,1,0,0,C
0,95.5,82,84,1,1,1,0,0,C
1,87.5,74,91,0,0,1,0,1,E
1,93.5,80,82,0,1,0,1,0,F
0,95.5,82,86,0,1,0,1,0,F
0,93.4,80,83,0,1,1,1,0,A
1,96.4,83,80,0,0,1,1,1,B
1,84.4,71,66,0,0,1,0,1,E
1,89.4,76,74,0,0,1,0,1,E
1,95.4,82,87,0,0,1,0,1,E
1,86.4,73,72,0,1,0,1,0,F
1,87.4,74,84,1,1,1,0,0,G
0,91.3,78,77,0,0,1,1,1,B
1,91.3,78,81,0,0,1,1,1,B
0,93.3,80,90,1,1,1,0,0,C
0,98.3,85,90,1,1,1,0,0,C
1,84.3,71,83,0,1,0,1,0,F
1,95.3,82,90,0,1,0,1,0,F
0,91.3,78,82,1,1,1,0,0,G
0,93.3,80,80,1,1,1,0,0,G
0,90.2,77,82,0,1,1,1,0,A
1,86.2,73,80,0,0,1,1,1,B
1,91.2,78,80,0,0,1,1,1,B
0,93.2,80,86,0,0,1,1,1,B
1,90.2,77,80,1,1,1,0,0,C
1,93.2,80,84,1,1,1,0,0,C
1,81.2,68,72,0,1,0,0,0,D
1,87.1,74,82,0,1,1,1,0,A
1,87.1,74,87,0,1,1,1,0,A
0,93.1,80,75,0,1,1,1,0,A
0,95.1,82,88,0,1,1,1,0,A
0,96.1,83,80,1,1,1,0,0,G
1,86,73,80,0,1,1,1,0,A
1,95,82,84,0,1,1,1,0,A
1,97,84,82,0,0,1,1,1,B
0,91,78,91,1,1,1,0,0,C
1,91,78,80,1,1,1,0,0,C
0,93,80,88,1,1,1,0,0,C
0,95,82,82,1,1,1,0,0,C
1,83,70,72,0,1,0,0,0,D
1,83,70,72,0,0,1,0,1,E
1,96,83,76,0,1,0,1,0,F
1,88,75,95,1,1,1,0,0,G
1,94,81,90,1,1,1,0,0,G
1,93.9,81,90,0,1,1,1,0,A
0,95.9,83,84,0,1,1,1,0,A
1,97.9,85,90,0,1,1,1,0,A
0,92.9,80,84,0,0,1,1,1,B
1,93.9,81,80,0,0,1,1,1,B
1,96.9,84,93,0,0,1,1,1,B
0,87.9,75,92,0,1,0,0,0,C
1,92.9,80,87,1,1,1,0,0,C
1,92.9,80,77,1,1,1,0,0,C
1,92.9,80,81,1,1,1,0,0,C
1,92.9,80,87,1,1,1,0,0,C
1,83.9,71,75,0,1,0,1,0,F
0,85.9,73,78,0,1,0,1,0,F
0,90.9,78,76,1,1,1,0,0,G
0,92.9,80,82,1,1,1,0,0,G
0,97.9,85,86,1,1,1,0,0,G
0,87.8,75,71,0,1,1,1,0,A
1,92.8,80,75,0,1,1,1,0,A
1,95.8,83,82,0,1,1,1,0,A
1,90.8,78,88,1,1,1,0,0,C
0,92.8,80,77,1,1,1,0,0,C
1,99.8,87,81,1,1,1,0,0,C
0,82.8,70,72,0,1,0,0,0,D
1,89.8,77,80,0,1,0,1,0,F
1,97.8,85,87,0,1,0,1,0,F
0,94.7,82,83,0,1,1,1,0,A
0,78.7,66,77,0,1,0,0,0,D
0,86.7,74,76,0,1,0,0,0,D
1,83.7,71,67,0,1,0,1,0,F
1,87.7,75,84,0,1,0,1,0,F
1,94.7,82,86,0,1,0,1,0,F
0,94.7,82,92,1,1,1,0,0,G
0,95.7,83,82,1,1,1,0,0,G
1,94.6,82,75,0,1,1,1,0,A
1,96.6,84,88,0,1,1,1,0,A
1,93.6,81,80,0,0,1,1,1,B
1,92.6,80,81,1,1,1,0,0,C
1,88.6,76,70,0,1,0,1,0,F
0,96.6,84,93,1,1,1,0,0,G
1,92.5,80,81,1,1,1,0,0,C
1,86.5,74,70,0,0,1,0,1,E
0,89.5,77,81,1,1,1,0,0,G
0,89.4,77,97,0,1,1,1,0,A
0,96.4,84,82,0,0,1,1,1,B
0,82.4,70,84,0,1,0,0,0,C
0,92.4,80,85,1,1,1,0,0,C
1,92.4,80,82,1,1,1,0,0,C
1,93.4,81,84,1,1,1,0,0,C
0,93.4,81,93,0,1,0,0,0,C
0,82.4,70,73,0,1,0,0,0,D
1,87.4,75,76,0,1,0,1,0,F
1,90.4,78,91,0,1,0,1,0,F
1,92.4,80,80,0,1,0,1,0,F
1,92.3,80,84,0,1,1,1,0,A
0,92.3,80,80,0,0,1,1,1,B
1,88.3,76,81,1,1,1,0,0,C
0,98.3,86,91,1,1,1,0,0,C
1,86.3,74,88,0,1,0,0,0,D
1,98.3,86,93,0,1,0,1,0,F
0,95.2,83,82,0,1,1,1,0,A
1,93.2,81,93,0,0,1,1,1,B
1,98.2,86,86,0,0,1,1,1,B
